,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing
228,Aruba,,2020-08-16,0.0,2.0,0.0,4.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0
229,Aruba,,2020-08-17,0.0,2.0,0.0,4.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0
230,Aruba,,2020-08-18,3.0,2.0,0.0,4.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0
231,Aruba,,2020-08-19,3.0,2.0,0.0,4.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0
232,Aruba,,2020-08-20,3.0,2.0,0.0,4.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0
233,Aruba,,2020-08-21,3.0,2.0,0.0,4.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0
234,Aruba,,2020-08-22,3.0,2.0,0.0,4.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0
235,Aruba,,2020-08-23,3.0,2.0,0.0,4.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0
236,Aruba,,2020-08-24,3.0,2.0,0.0,4.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0
237,Aruba,,2020-08-25,3.0,2.0,0.0,4.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0
238,Aruba,,2020-08-26,3.0,2.0,0.0,4.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0
239,Aruba,,2020-08-27,3.0,2.0,0.0,4.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0
240,Aruba,,2020-08-28,3.0,2.0,0.0,4.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0
241,Aruba,,2020-08-29,3.0,2.0,0.0,4.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0
242,Aruba,,2020-08-30,3.0,2.0,0.0,4.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0
243,Aruba,,2020-08-31,3.0,2.0,0.0,4.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0
244,Aruba,,2020-09-01,3.0,2.0,0.0,4.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0
245,Aruba,,2020-09-02,3.0,2.0,0.0,4.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0
246,Aruba,,2020-09-03,3.0,2.0,0.0,4.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0
247,Aruba,,2020-09-04,3.0,2.0,0.0,4.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0
248,Aruba,,2020-09-05,3.0,2.0,0.0,4.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0
249,Aruba,,2020-09-06,3.0,2.0,0.0,4.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0
250,Aruba,,2020-09-07,3.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,2.0,2.0,1.0
251,Aruba,,2020-09-08,3.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,2.0,2.0,1.0
252,Aruba,,2020-09-09,3.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,2.0,2.0,1.0
253,Aruba,,2020-09-10,3.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,2.0,2.0,1.0
254,Aruba,,2020-09-11,3.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0,2.0,2.0,1.0
255,Aruba,,2020-09-12,3.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0,2.0,2.0,1.0
514,Afghanistan,,2020-08-16,2.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
515,Afghanistan,,2020-08-17,2.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
516,Afghanistan,,2020-08-18,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0
517,Afghanistan,,2020-08-19,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0
518,Afghanistan,,2020-08-20,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0
519,Afghanistan,,2020-08-21,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0
520,Afghanistan,,2020-08-22,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0
521,Afghanistan,,2020-08-23,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0
